house_age,distance_to_MTR_station,num_of_convenience_store,house_price
10,4.186385499,0,43.5
12.9,2.758947729,2,42.5
16.2,3.534185094,7,51.4
5.1,5.489084017,3,28.9
19.8,1.522896582,8,37.5
13.6,3.876310963,4,40.1
11.9,2.251389698,4,28.4
2.1,5.017048353,3,45.5
0,5.285814488,2,52.2
3.2,3.135950125,1,43.2
16.4,2.436432242,1,45.1
34.9,4.788744521,9,39.7
35.8,1.319114691,0,48.5
4.9,2.652846372,2,44.7
12,3.278344046,3,28.9
6.5,1.199636123,6,40.9
16.9,2.151820656,4,20.7
13.8,3.950581041,9,15.6
30.7,6.312774184,9,18.3
16.1,4.365086465,5,35.6
11.6,5.780224691,4,39.4
15.5,3.937897057,9,37.4
3.5,3.948492954,8,57.8
19.2,4.603982729,6,39.6
16,3.956692565,9,11.6
8.5,3.180812066,10,55.5
0,4.295470543,3,55.2
13.7,1.604438004,9,30.6
0,0.438288424,0,73.6
28.2,2.436992959,1,43.4
27.6,2.04012335,9,37.4
8.4,2.970330825,3,23.5
24,3.660575361,0,14.4
3.6,3.972411064,8,58.8
6.6,4.153218802,3,58.1
41.3,2.400909026,1,35.1
4.3,2.769858424,2,45.2
30.2,3.974467674,9,36.5
13.9,6.360458609,2,19.2
33,2.310223534,5,42
13.1,4.193734811,1,36.7
14,4.549282901,7,42.6
26.9,1.994098812,5,15.5
11.6,3.294428808,6,55.9
13.5,2.553561889,7,23.6
17,2.48301786,0,18.8
14.1,3.778929421,2,21.8
31.4,4.527782592,0,21.5
20.9,5.481375063,2,25.7
8.9,6.364546442,8,22
34.8,5.031773234,3,44.3
16.3,6.034089104,3,20.5
35.3,5.221523019,9,42.3
13.2,1.59734357,1,37.8
43.8,2.267838308,8,42.7
9.7,3.863876548,5,49.3
15.2,3.553216567,6,29.3
15.2,4.341569074,3,34.6
22.8,1.268268439,2,36.6
34.4,5.073663935,9,48.2
34,3.620355413,3,39.1
18.2,3.978150573,2,31.6
17.4,4.168151097,6,25.5
13.1,5.651963274,5,45.9
38.3,5.703286632,8,31.5
15.6,1.1342036,5,46.1
18,6.226136734,1,26.6
12.8,5.781854063,2,21.4
22.2,1.816012861,2,44
38.5,1.857888374,5,34.2
11.5,6.266416856,7,26.2
34.8,4.823710457,8,40.9
5.2,2.340814652,1,52.2
0,1.808235027,7,43.5
17.6,4.759715231,9,31.1
6.2,2.903905993,6,58
18.1,4.543284234,6,20.9
19.2,4.081114432,3,48.1
37.8,5.709838118,4,39.7
28,2.375085261,9,40.8
13.6,4.432837426,3,43.8
29.3,2.339995285,6,40.2
37.2,1.647960996,7,78.3
9,3.323926576,4,38.5
30.6,4.498729569,8,48.5
9.1,4.674092107,10,42.3
34.5,0.878516749,1,46
1.1,2.731586832,7,49
16.5,3.939640488,8,12.8
32.4,1.042546686,6,40.2
11.9,5.57637659,5,46.6
31,4.863537563,3,19
4,5.619891866,4,33.4
16.2,5.452922687,5,14.7
27.1,2.65252438,10,17.4
39.7,4.526494575,1,32.4
8,3.816594904,9,23.9
12.9,2.273276358,7,39.3
3.6,3.890930499,9,61.9
13,5.346249633,7,39
12.8,2.762858087,0,40.6
18.1,3.735989224,9,29.7
11,6.189761578,10,28.8
13.7,5.818181171,3,41.4
2,3.24448224,6,33.4
32.8,5.475882258,3,48.2
4.8,1.631667533,9,21.7
7.5,2.857735939,2,40.8
16.4,3.835276572,4,40.6
21.7,2.65202659,1,23.1
19,2.290926361,2,22.3
18,2.038101897,7,15
39.2,4.965011676,6,30
31.7,4.574299652,5,13.8
5.9,3.39181226,3,52.7
30.4,1.394197321,7,25.9
1.1,3.165423777,4,51.8
31.5,4.391808547,2,17.4
14.6,2.257942093,4,26.5
17.3,2.08357332,2,43.9
0,4.324564434,5,63.3
17.7,4.734511446,7,28.8
17,2.250217401,6,30.7
16.2,5.693177141,4,24.4
15.9,0.893844128,4,53
3.9,2.679911577,3,31.7
32.6,4.044873244,9,40.6
15.7,4.967133796,5,38.1
17.8,3.386580968,2,23.7
34.7,2.257756181,9,41.1
17.2,5.263432133,9,40.1
17.6,4.781742132,4,23
10.8,0.94580726,9,117.5
17.7,5.763515047,1,26.5
13,4.228248909,1,40.5
13.2,6.105769219,3,29.3
27.5,5.027504774,5,41
1.5,5.562831416,6,49.7
19.1,4.105441489,9,34
21.2,2.799290744,2,27.7
0,3.765081864,4,44
2.6,2.666297841,8,31.1
2.3,3.011345119,2,45.4
4.7,3.858133424,1,44.8
2,3.660774021,1,25.6
33.5,4.614250576,2,23.5
15,1.502995817,1,34.4
30.1,0.684019864,5,55.3
5.9,1.759166113,4,56.3
19.2,4.376681531,7,32.9
16.6,2.279968638,2,51
13.9,4.653194141,6,44.5
37.7,1.953416149,7,37
3.4,1.197721473,9,54.4
17.5,5.528223454,8,24.5
12.6,4.671698086,7,42.5
26.4,5.618498415,2,38.1
18.2,2.786221711,9,21.8
12.5,1.74170581,2,34.1
34.9,3.932143154,7,28.5
16.7,2.82568567,10,16.7
33.2,4.65688127,5,46.1
2.5,5.658944281,8,36.9
38,5.536615957,0,35.7
16.5,1.425687086,9,23.2
38.3,3.287202568,4,38.4
20,3.058753324,4,29.4
16.2,5.431079992,4,55
14.4,5.731460103,3,50.2
10.3,1.465759714,1,24.7
16.4,3.630405168,2,53
30.3,4.760494996,5,19.1
16.4,1.636855322,6,24.7
21.3,4.563762946,2,42.2
35.4,3.686366932,3,78
8.3,1.699349277,0,42.8
3.7,4.772052351,4,41.6
15.6,5.563313317,0,27.3
13.3,2.754968737,2,42
15.6,1.325130447,4,37.5
7.1,5.423432989,6,49.8
34.6,4.56984921,8,26.9
13.5,3.952874522,8,18.6
16.9,5.070931539,10,37.7
12.9,4.389002037,6,33.1
28.6,4.803760669,2,42.5
12.4,1.261634343,6,31.3
36.6,1.385424712,1,38.1
4.1,4.667488581,4,62.1
3.5,3.88376914,3,36.7
15.9,2.137258634,8,23.6
13.6,5.49418243,6,19.2
32,4.162796178,5,12.8
25.6,3.73257738,4,15.6
39.8,4.702113246,4,39.6
7.8,5.708509576,7,38.4
30,2.503778242,8,22.8
27.3,3.641226536,5,36.5
5.1,5.768689591,3,35.6
31.3,2.694196627,3,30.9
31.5,3.050719866,2,36.3
1.7,1.987566055,2,50.4
33.6,1.151415835,7,42.9
13,1.621890577,9,37
5.7,5.49144344,1,53.5
33.5,2.067491404,5,46.6
34.6,2.063282187,10,41.2
0,2.533172238,10,37.9
13.2,2.775816927,4,30.8
17.4,5.595941996,8,11.2
4.6,3.337281061,1,53.7
7.8,1.51577108,9,47
13.2,4.092777935,2,42.3
4,4.408468981,3,28.6
18.4,2.143324949,3,25.7
4.1,4.84775355,4,31.3
12.2,3.15805631,9,30.1
3.8,2.395694118,6,60.7
10.3,3.081213666,9,45.3
0,2.380835298,10,44.9
1.1,1.754198333,5,45.1
5.6,5.294907097,5,24.7
32.9,4.88377814,7,47.1
41.4,2.097785398,7,63.3
17.1,2.448569853,5,40
32.3,4.312570623,4,48
35.3,1.277476272,6,33.1
17.3,2.425387332,7,29.5
14.2,5.236956186,7,24.8
15,6.282892609,8,20.9
18.2,3.47244457,4,43.1
20.2,2.872348619,6,22.8
15.9,3.117067824,3,42.1
4.1,1.862349987,5,51.7
33.9,2.836351316,5,41.5
0,3.824195666,9,52.2
5.4,0.806494496,6,49.5
21.7,4.878512136,2,23.8
14.7,2.523411146,9,30.5
3.9,5.446354242,8,56.8
37.3,2.036641718,2,37.4
0,1.650281509,7,69.7
14.1,0.691942897,10,53.3
8,2.75731262,1,47.3
16.3,5.504562594,9,29.3
29.1,4.619633088,2,40.3
16.1,5.380638405,3,12.9
18.3,4.224902667,0,46.6
0,2.91094212,2,55.3
16.2,1.922937967,3,25.6
10.4,2.64923288,5,27.3
40.9,1.082765719,2,67.7
32.8,1.432696948,7,38.6
6.2,5.91515015,2,31.3
42.7,2.442271013,7,35.3
16.9,2.201405073,0,40.3
32.6,4.548652018,4,24.7
21.2,4.009945877,9,42.5
37.1,4.795843673,5,31.9
13.1,1.856340026,1,32.2
14.7,3.393657198,4,23
12.7,4.166465019,6,37.3
26.8,1.177378761,9,35.5
7.6,5.509932188,1,27.7
12.7,4.309966258,5,28.5
30.9,1.578502322,9,39.7
16.4,1.140447784,3,41.2
23,1.710033273,1,37.2
1.9,1.43933028,1,40.5
5.2,5.221889747,7,22.3
18.5,2.734848065,6,28.1
13.7,5.12841437,5,15.4
5.6,3.990487109,6,50
18.8,5.349293887,8,40.6
8.1,2.000936344,8,52.5
6.5,1.417124002,7,63.9
