income,age,loan
33160.79196,42.3,9908
34766.08917,42.2,9949
34102.89084,45.3,8231
34702.99174,40.8,11838
27417.20186,49.7,8950
35472.82175,38.6,14598
34194.81471,44.2,8343
32569.49063,35.3,16159
29879.77242,34.9,13920
34134.89854,43.9,9616
34578.97568,39.7,14035
31819.39851,44.8,11104
32769.51719,43.4,10018
36185.85799,40.1,10497
33000.58736,35.6,15666
27162.34099,31.1,15335
34515.39314,37.4,14309
33794.41102,45.7,8866
34604.02812,41.7,12271
30416.09569,33.7,13198
34213.18587,41.6,13081
33172.39878,42.3,10233
32795.26215,35.8,14053
33515.88767,41.6,12949
36198.83563,40.7,10700
29664.49713,33.8,15916
33757.50701,42.2,11917
35161.66785,43,12251
31398.38439,46.4,7873
31273.73181,46.5,7394
26871.72239,33,17491
31210.58874,34.4,13206
32902.01134,43.1,9827
32834.50979,43.8,10590
35174.83689,43.8,11930
35223.95733,43.6,10953
30333.49646,47.7,9986
32163.29258,46.8,7058
33443.57599,44.8,9591
34223.98665,38.3,12310
33418.47427,45.3,9971
33362.16187,35.2,14110
35865.09017,39,11128
33140.11925,37.4,13323
34624.36049,40.2,12556
32861.95745,45,8650
26695.73751,30.5,16818
35026.75547,37.2,12412
32111.77762,47.8,9037
33677.27765,40.1,11548
31938.70657,34.6,15447
32732.89709,36.6,14093
33678.11462,44.3,9697
33038.18161,37,15195
33966.42803,41.6,12926
33792.94472,40.1,10994
33999.3128,36,13218
34421.84755,44.1,9411
36092.43816,41.1,13296
34256.47816,37,13642
32866.28121,45,11296
33966.42803,41.6,12926
32392.94472,40.1,10994
26695.73751,31,18818
26111.77762,48,10234
28865.69552,33,16488
19569.73785,50,9626
34806.72979,39,15028
